,vacancy,salary,link,site
196,Senior Data Engineer,ЗП не указана,https://hh.ru/vacancy/71079446?query=data+engineer,hh.ru
197,Data Scientist,ЗП не указана,https://hh.ru/vacancy/73343526?query=data+engineer,hh.ru
198,Data engineer (ML),ЗП не указана,https://hh.ru/vacancy/73145059?query=data+engineer,hh.ru
199,Senior Data engineer,ЗП не указана,https://hh.ru/vacancy/72211424?query=data+engineer,hh.ru
200,Senior Data engineer,ЗП не указана,https://hh.ru/vacancy/72211424?query=data+engineer,hh.ru
201,Data Steward,ЗП не указана,https://hh.ru/vacancy/70807525?query=data+engineer,hh.ru
202,DevOps engineer,от 3 000 EUR,https://hh.ru/vacancy/69924752?query=data+engineer,hh.ru
203,Data Engineer (Кампании продаж),ЗП не указана,https://hh.ru/vacancy/70103342?query=data+engineer,hh.ru
204,Data Engineer (Рекомендательная система),ЗП не указана,https://hh.ru/vacancy/72737252?query=data+engineer,hh.ru
205,Data engineer (Business Solutions),ЗП не указана,https://hh.ru/vacancy/68891469?query=data+engineer,hh.ru
206,Data Engineer,ЗП не указана,https://hh.ru/vacancy/66519211?query=data+engineer,hh.ru
207,Data Engineer (Устройства Самообслуживания),ЗП не указана,https://hh.ru/vacancy/71800358?query=data+engineer,hh.ru
208,Data Engineer в команду автоматизации ML-процессов,ЗП не указана,https://hh.ru/vacancy/71293291?query=data+engineer,hh.ru
209,Data Engineer,ЗП не указана,https://hh.ru/vacancy/72289048?query=data+engineer,hh.ru
210,Data Engineer,ЗП не указана,https://hh.ru/vacancy/71521049?query=data+engineer,hh.ru
211,Data Analyst (СберСпасибо),ЗП не указана,https://hh.ru/vacancy/71868080?query=data+engineer,hh.ru
212,Разработчик DWH/ Data engineer,ЗП не указана,https://hh.ru/vacancy/71998320?query=data+engineer,hh.ru
213,"Senior Python Developer / Data Engineer в команду Data Catalog, платформа ML Space",ЗП не указана,https://hh.ru/vacancy/71902417?query=data+engineer,hh.ru
214,Senior Data Engineer,ЗП не указана,https://hh.ru/vacancy/73098987?query=data+engineer,hh.ru
