,vacancy,salary,link,site
139,Senior Data Scientist (Classical ML),ЗП не указана,https://hh.ru/vacancy/91847332?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
140,Data Scientist (Рекомендательная система),ЗП не указана,https://hh.ru/vacancy/91488351?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
141,Middle/Senior Data Scientist (LLM),ЗП не указана,https://hh.ru/vacancy/91890615?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
142,Data scientist (Middle/Middle+),ЗП не указана,https://hh.ru/vacancy/91657486?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
143,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/91152863?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
144,Data Scientist / ML-инженер,ЗП не указана,https://hh.ru/vacancy/91634167?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
145,Data scientist,ЗП не указана,https://hh.ru/vacancy/91254601?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
146,Middle Data Scientist (команда SberCampaigning),ЗП не указана,https://hh.ru/vacancy/91481282?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
147,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91275991?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
148,Data Analyst/Data Scientist в команду операционного аудита в канале ВСП,ЗП не указана,https://hh.ru/vacancy/91443900?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
149,Data Scientist ( Ведущий ),ЗП не указана,https://hh.ru/vacancy/92029448?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
150,Data scientist CV (senior),ЗП не указана,https://hh.ru/vacancy/91757000?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
151,Data scientist (NLP),ЗП не указана,https://hh.ru/vacancy/91525276?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
152,Data scientist,ЗП не указана,https://hh.ru/vacancy/90769968?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
153,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91415459?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
154,Data Scientist middle/senior,ЗП не указана,https://hh.ru/vacancy/90693314?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
155,Data Scientist (Middle\Senior),ЗП не указана,https://hh.ru/vacancy/91678853?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
156,Data Scientist (Senior),ЗП не указана,https://hh.ru/vacancy/87915098?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
157,Математик-программист / Data Scientist,ЗП не указана,https://hh.ru/vacancy/88656252?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
158,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91263467?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
159,ML инженер / Data scientist,ЗП не указана,https://hh.ru/vacancy/91380739?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
160,Senior Data Scientist,3 200 – 5 000 $,https://hh.ru/vacancy/91635117?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
161,Senior Data Scientist LLM,ЗП не указана,https://hh.ru/vacancy/91334005?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
162,Lead Data Scientist,ЗП не указана,https://hh.ru/vacancy/90736394?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
163,"Data Scientist/Analyst ""Платформа экспериментов"" (Senior)",ЗП не указана,https://hh.ru/vacancy/91831041?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
164,Data Scientist/Эксперт по валидации моделей,ЗП не указана,https://hh.ru/vacancy/85595301?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
